doctor_id,doctor_name,specialization,hospital_id,experience_years
1,Dr. Harish Reddy,Neurology,10,19
2,Dr. Lakshmi Subramanian,Orthopedic,11,14
3,Dr. Neha Kulkarni,Neurology,2,25
4,Dr. Pooja Sharma,General,3,4
5,Dr. Revathi Narayanan,Cardiology,11,2
6,Dr. Keerthi Iyer,General,5,3
7,Dr. Vaishali Gokhale,Dermatology,14,7
8,Dr. Amit Patil,Orthopedic,2,3
9,Dr. Vikas Agarwal,Orthopedic,3,15
10,Dr. Divya Shetty,Orthopedic,4,7
11,Dr. Prajakta Joshi,Dermatology,13,21
12,Dr. Pradeep Naidu,Neurology,6,15
13,Dr. Neha Patil,Orthopedic,1,25
14,Dr. Sachin Deshmukh,Orthopedic,2,13
15,Dr. Sneha Patil,Dermatology,13,23
16,Dr. Kavita Chavan,General,7,21
17,Dr. Ritu Gupta,Dermatology,15,8
18,Dr. Prajakta Pawar,Dermatology,14,13
19,Dr. Anu Subramanian,Dermatology,5,16
20,Dr. Ramesh Reddy,Neurology,6,21
21,Dr. Gopinath Krishnan,Orthopedic,11,3
22,Dr. Swati Chavan,Dermatology,2,9
23,Dr. Amol Joshi,Dermatology,7,25
24,Dr. Preeti Sharma,Cardiology,15,14
25,Dr. Ajay Deshmukh,Dermatology,14,24
26,Dr. Anita Kulkarni,Dermatology,7,4
27,Dr. Janani Narayanan,Orthopedic,11,7
28,Dr. Mahesh Naidu,Dermatology,6,25
29,Dr. Mahesh Gokhale,Cardiology,13,1
30,Dr. Prashant Shinde,Cardiology,14,2
31,Dr. Mahesh Joshi,Cardiology,2,24
32,Dr. Sneha Kulkarni,Neurology,1,22
33,Dr. Anita Kulkarni,Orthopedic,2,17
34,Dr. Anu Narayanan,Orthopedic,11,23
35,Dr. Ganesh Shinde,Neurology,14,22
36,Dr. Bhavya Goud,Cardiology,12,4
37,Dr. Sachin Joshi,Orthopedic,2,1
38,Dr. Pradeep Naidu,Cardiology,6,3
39,Dr. Sachin Joshi,Cardiology,7,11
40,Dr. Manoj Shetty,Cardiology,10,16
41,Dr. Kiran Murthy,Dermatology,4,19
42,Dr. Anjali Malhotra,Dermatology,9,14
43,Dr. Rohit Joshi,General,7,12
44,Dr. Swati Chavan,Dermatology,13,2
45,Dr. Amit Pawar,Orthopedic,2,4
46,Dr. Sachin Patil,Dermatology,2,15
47,Dr. Sandeep Kulkarni,Orthopedic,8,15
48,Dr. Vikas Agarwal,Dermatology,3,4
49,Dr. Venkatesh Goud,Dermatology,12,3
50,Dr. Nitin Pawar,General,1,16
51,Dr. Arun Iyer,Neurology,11,13
52,Dr. Rakesh Gupta,General,3,10
53,Dr. Anusha Goud,Orthopedic,12,23
54,Dr. Divya Reddy,Neurology,10,7
55,Dr. Raghavan Narayanan,Neurology,11,24
56,Dr. Neha Sharma,Dermatology,3,16
57,Dr. Amit Joshi,Neurology,7,3
58,Dr. Mohit Agarwal,Dermatology,15,19
59,Dr. Mahesh Deshmukh,Dermatology,13,3
60,Dr. Deepa Hegde,Dermatology,4,17
61,Dr. Revathi Subramanian,Orthopedic,11,23
62,Dr. Kavita Shinde,Cardiology,13,5
63,Dr. Shweta Gokhale,Cardiology,1,1
64,Dr. Keerthi Narayanan,Cardiology,5,3
65,Dr. Akhil Gupta,Neurology,3,12
66,Dr. Sachin Gokhale,Orthopedic,2,6
67,Dr. Nisha Khanna,Dermatology,9,20
68,Dr. Prakash Murthy,Cardiology,4,5
69,Dr. Sneha Joshi,Dermatology,2,5
70,Dr. Revathi Narayanan,Neurology,11,23
71,Dr. Kavita Shinde,Dermatology,14,16
72,Dr. Priya Joshi,General,8,9
73,Dr. Ramesh Rao,Dermatology,12,21
74,Dr. Ritu Khanna,General,3,18
75,Dr. Anita Deshmukh,Cardiology,1,3
76,Dr. Raghavan Iyer,Orthopedic,5,19
77,Dr. Naresh Naidu,Dermatology,12,10
